Episode  420 | Steps:      0 | Noise Scale: 0.300 | Replay size: 15689 | Episode length:  31 | Total reward:   28.94 | Mean Q-value:   6.520
Episode  425 | Steps:      0 | Noise Scale: 0.300 | Replay size: 15867 | Episode length:  53 | Total reward:   49.60 | Mean Q-value:   6.590
Episode  430 | Steps:      0 | Noise Scale: 0.300 | Replay size: 16057 | Episode length:  25 | Total reward:   23.22 | Mean Q-value:   6.658
Episode  435 | Steps:      0 | Noise Scale: 0.300 | Replay size: 16233 | Episode length:  35 | Total reward:   32.80 | Mean Q-value:   6.751
Episode  440 | Steps:      0 | Noise Scale: 0.300 | Replay size: 16397 | Episode length:  26 | Total reward:   24.32 | Mean Q-value:   6.782
Episode  445 | Steps:      0 | Noise Scale: 0.300 | Replay size: 16569 | Episode length:  33 | Total reward:   30.79 | Mean Q-value:   6.888
Episode  450 | Steps:      0 | Noise Scale: 0.300 | Replay size: 16789 | Episode length:  67 | Total reward:   62.69 | Mean Q-value:   6.947
Episode  455 | Steps:      0 | Noise Scale: 0.300 | Replay size: 16972 | Episode length:  24 | Total reward:   21.76 | Mean Q-value:   7.020
Episode  460 | Steps:      0 | Noise Scale: 0.300 | Replay size: 17159 | Episode length:  36 | Total reward:   33.60 | Mean Q-value:   7.099
Episode  465 | Steps:      0 | Noise Scale: 0.300 | Replay size: 17359 | Episode length:  33 | Total reward:   31.05 | Mean Q-value:   7.151
Episode  470 | Steps:      0 | Noise Scale: 0.300 | Replay size: 17527 | Episode length:  43 | Total reward:   40.11 | Mean Q-value:   7.220
Episode  475 | Steps:      0 | Noise Scale: 0.300 | Replay size: 17741 | Episode length:  68 | Total reward:   63.14 | Mean Q-value:   7.309
Episode  480 | Steps:      0 | Noise Scale: 0.300 | Replay size: 17947 | Episode length:  45 | Total reward:   42.57 | Mean Q-value:   7.384
Episode  485 | Steps:      0 | Noise Scale: 0.300 | Replay size: 18094 | Episode length:  25 | Total reward:   22.75 | Mean Q-value:   7.457
Episode  490 | Steps:      0 | Noise Scale: 0.300 | Replay size: 18246 | Episode length:  31 | Total reward:   28.79 | Mean Q-value:   7.530
Episode  495 | Steps:      0 | Noise Scale: 0.300 | Replay size: 18409 | Episode length:  31 | Total reward:   28.78 | Mean Q-value:   7.514
Episode  500 | Steps:      0 | Noise Scale: 0.300 | Replay size: 18598 | Episode length:  31 | Total reward:   29.34 | Mean Q-value:   7.644
Episode  505 | Steps:      0 | Noise Scale: 0.300 | Replay size: 18788 | Episode length:  41 | Total reward:   38.26 | Mean Q-value:   7.704
Episode  510 | Steps:      0 | Noise Scale: 0.300 | Replay size: 18944 | Episode length:  40 | Total reward:   37.55 | Mean Q-value:   7.760
Episode  515 | Steps:      0 | Noise Scale: 0.300 | Replay size: 19112 | Episode length:  22 | Total reward:   20.57 | Mean Q-value:   7.846
Episode  520 | Steps:      0 | Noise Scale: 0.300 | Replay size: 19301 | Episode length:  45 | Total reward:   42.98 | Mean Q-value:   7.889
Episode  525 | Steps:      0 | Noise Scale: 0.300 | Replay size: 19471 | Episode length:  30 | Total reward:   28.39 | Mean Q-value:   8.001
Episode  530 | Steps:      0 | Noise Scale: 0.300 | Replay size: 19684 | Episode length:  33 | Total reward:   31.04 | Mean Q-value:   8.042
Episode  535 | Steps:      0 | Noise Scale: 0.300 | Replay size: 19849 | Episode length:  31 | Total reward:   29.48 | Mean Q-value:   8.110
Episode  540 | Steps:      0 | Noise Scale: 0.300 | Replay size: 20107 | Episode length:  24 | Total reward:   22.47 | Mean Q-value:   8.216
Episode  545 | Steps:      0 | Noise Scale: 0.300 | Replay size: 20262 | Episode length:  40 | Total reward:   37.46 | Mean Q-value:   8.286
Episode  550 | Steps:      0 | Noise Scale: 0.300 | Replay size: 20488 | Episode length:  31 | Total reward:   28.52 | Mean Q-value:   8.391
Episode  555 | Steps:      0 | Noise Scale: 0.300 | Replay size: 20633 | Episode length:  34 | Total reward:   31.83 | Mean Q-value:   8.432
Episode  560 | Steps:      0 | Noise Scale: 0.300 | Replay size: 20802 | Episode length:  45 | Total reward:   42.23 | Mean Q-value:   8.474
Episode  565 | Steps:      0 | Noise Scale: 0.300 | Replay size: 20966 | Episode length:  34 | Total reward:   31.90 | Mean Q-value:   8.513
Episode  570 | Steps:      0 | Noise Scale: 0.300 | Replay size: 21125 | Episode length:  35 | Total reward:   32.56 | Mean Q-value:   8.566
Episode  575 | Steps:      0 | Noise Scale: 0.300 | Replay size: 21272 | Episode length:  26 | Total reward:   24.51 | Mean Q-value:   8.598
Episode  580 | Steps:      0 | Noise Scale: 0.300 | Replay size: 21430 | Episode length:  25 | Total reward:   23.33 | Mean Q-value:   8.720
Episode  585 | Steps:      0 | Noise Scale: 0.300 | Replay size: 21613 | Episode length:  32 | Total reward:   29.95 | Mean Q-value:   8.767
Episode  590 | Steps:      0 | Noise Scale: 0.300 | Replay size: 21781 | Episode length:  27 | Total reward:   25.20 | Mean Q-value:   8.824
Episode  595 | Steps:      0 | Noise Scale: 0.300 | Replay size: 21956 | Episode length:  30 | Total reward:   27.90 | Mean Q-value:   8.921
Episode  600 | Steps:     39 | Noise Scale: 0.300 | Replay size: 22158 | Episode length:  38 | Total reward:   37.22 | Mean Q-value:   8.953
Episode  605 | Steps:    268 | Noise Scale: 0.299 | Replay size: 22387 | Episode length:  37 | Total reward:   35.47 | Mean Q-value:   9.041
Episode  610 | Steps:    523 | Noise Scale: 0.298 | Replay size: 22642 | Episode length:  49 | Total reward:   47.45 | Mean Q-value:   9.123
Episode  615 | Steps:    770 | Noise Scale: 0.297 | Replay size: 22889 | Episode length:  36 | Total reward:   35.03 | Mean Q-value:   9.217
Episode  620 | Steps:   1033 | Noise Scale: 0.297 | Replay size: 23152 | Episode length:  39 | Total reward:   37.97 | Mean Q-value:   9.339
Episode  625 | Steps:   1333 | Noise Scale: 0.296 | Replay size: 23452 | Episode length:  42 | Total reward:   40.50 | Mean Q-value:   9.472
Episode  630 | Steps:   1595 | Noise Scale: 0.295 | Replay size: 23714 | Episode length:  52 | Total reward:   50.62 | Mean Q-value:   9.535
Episode  635 | Steps:   1797 | Noise Scale: 0.294 | Replay size: 23916 | Episode length:  40 | Total reward:   38.95 | Mean Q-value:   9.620
Episode  640 | Steps:   2024 | Noise Scale: 0.293 | Replay size: 24143 | Episode length:  72 | Total reward:   70.71 | Mean Q-value:   9.691
Episode  645 | Steps:   2256 | Noise Scale: 0.293 | Replay size: 24375 | Episode length:  46 | Total reward:   44.69 | Mean Q-value:   9.780
Episode  650 | Steps:   2538 | Noise Scale: 0.292 | Replay size: 24657 | Episode length:  73 | Total reward:   71.41 | Mean Q-value:   9.863
Episode  655 | Steps:   2819 | Noise Scale: 0.291 | Replay size: 24938 | Episode length:  45 | Total reward:   43.57 | Mean Q-value:   9.989
Episode  660 | Steps:   3078 | Noise Scale: 0.290 | Replay size: 25197 | Episode length:  54 | Total reward:   52.45 | Mean Q-value:  10.111
Episode  665 | Steps:   3410 | Noise Scale: 0.289 | Replay size: 25529 | Episode length:  65 | Total reward:   63.31 | Mean Q-value:  10.243
Episode  670 | Steps:   3711 | Noise Scale: 0.288 | Replay size: 25830 | Episode length:  60 | Total reward:   58.28 | Mean Q-value:  10.318
Episode  675 | Steps:   3932 | Noise Scale: 0.287 | Replay size: 26051 | Episode length:  38 | Total reward:   37.04 | Mean Q-value:  10.409
Episode  680 | Steps:   4179 | Noise Scale: 0.287 | Replay size: 26298 | Episode length:  39 | Total reward:   37.74 | Mean Q-value:  10.488
Episode  685 | Steps:   4474 | Noise Scale: 0.286 | Replay size: 26593 | Episode length:  74 | Total reward:   72.42 | Mean Q-value:  10.580
Episode  690 | Steps:   4709 | Noise Scale: 0.285 | Replay size: 26828 | Episode length:  30 | Total reward:   29.13 | Mean Q-value:  10.746
Episode  695 | Steps:   4997 | Noise Scale: 0.284 | Replay size: 27116 | Episode length:  71 | Total reward:   69.20 | Mean Q-value:  10.799
Episode  700 | Steps:   5297 | Noise Scale: 0.283 | Replay size: 27416 | Episode length:  59 | Total reward:   57.22 | Mean Q-value:  10.889
Episode  705 | Steps:   5515 | Noise Scale: 0.282 | Replay size: 27634 | Episode length:  39 | Total reward:   37.86 | Mean Q-value:  11.022
Episode  710 | Steps:   5786 | Noise Scale: 0.282 | Replay size: 27905 | Episode length:  63 | Total reward:   61.37 | Mean Q-value:  11.094
Episode  715 | Steps:   6039 | Noise Scale: 0.281 | Replay size: 28158 | Episode length:  47 | Total reward:   44.97 | Mean Q-value:  11.123
Episode  720 | Steps:   6327 | Noise Scale: 0.280 | Replay size: 28446 | Episode length:  79 | Total reward:   77.20 | Mean Q-value:  11.284
Episode  725 | Steps:   6590 | Noise Scale: 0.279 | Replay size: 28709 | Episode length:  36 | Total reward:   34.77 | Mean Q-value:  11.388
Episode  730 | Steps:   6882 | Noise Scale: 0.278 | Replay size: 29001 | Episode length:  64 | Total reward:   62.30 | Mean Q-value:  11.503
Episode  735 | Steps:   7170 | Noise Scale: 0.277 | Replay size: 29289 | Episode length:  66 | Total reward:   64.34 | Mean Q-value:  11.607
Episode  740 | Steps:   7484 | Noise Scale: 0.276 | Replay size: 29603 | Episode length:  50 | Total reward:   48.26 | Mean Q-value:  11.698
Episode  745 | Steps:   7824 | Noise Scale: 0.275 | Replay size: 29943 | Episode length:  43 | Total reward:   41.90 | Mean Q-value:  11.844
Episode  750 | Steps:   8118 | Noise Scale: 0.275 | Replay size: 30237 | Episode length:  52 | Total reward:   50.07 | Mean Q-value:  11.964
Episode  755 | Steps:   8415 | Noise Scale: 0.274 | Replay size: 30534 | Episode length:  52 | Total reward:   50.19 | Mean Q-value:  12.041
Episode  760 | Steps:   8755 | Noise Scale: 0.273 | Replay size: 30874 | Episode length:  51 | Total reward:   48.75 | Mean Q-value:  12.094
Episode  765 | Steps:   9032 | Noise Scale: 0.272 | Replay size: 31151 | Episode length:  43 | Total reward:   42.11 | Mean Q-value:  12.245
Episode  770 | Steps:   9265 | Noise Scale: 0.271 | Replay size: 31384 | Episode length:  41 | Total reward:   39.80 | Mean Q-value:  12.343
Episode  775 | Steps:   9528 | Noise Scale: 0.270 | Replay size: 31647 | Episode length:  45 | Total reward:   43.98 | Mean Q-value:  12.461
Episode  780 | Steps:   9835 | Noise Scale: 0.270 | Replay size: 31954 | Episode length: 103 | Total reward:   99.45 | Mean Q-value:  12.550
Episode  785 | Steps:  10206 | Noise Scale: 0.268 | Replay size: 32325 | Episode length:  70 | Total reward:   68.35 | Mean Q-value:  12.673
Episode  790 | Steps:  10526 | Noise Scale: 0.268 | Replay size: 32645 | Episode length:  89 | Total reward:   85.66 | Mean Q-value:  12.780
Episode  795 | Steps:  10866 | Noise Scale: 0.267 | Replay size: 32985 | Episode length:  82 | Total reward:   78.99 | Mean Q-value:  12.866
Episode  800 | Steps:  11232 | Noise Scale: 0.265 | Replay size: 33351 | Episode length:  49 | Total reward:   47.26 | Mean Q-value:  13.041
Episode  805 | Steps:  11607 | Noise Scale: 0.264 | Replay size: 33726 | Episode length:  89 | Total reward:   85.21 | Mean Q-value:  13.144
Episode  810 | Steps:  11896 | Noise Scale: 0.264 | Replay size: 34015 | Episode length:  46 | Total reward:   44.36 | Mean Q-value:  13.248
Episode  815 | Steps:  12209 | Noise Scale: 0.263 | Replay size: 34328 | Episode length:  65 | Total reward:   61.69 | Mean Q-value:  13.398
Episode  820 | Steps:  12550 | Noise Scale: 0.262 | Replay size: 34669 | Episode length:  60 | Total reward:   56.99 | Mean Q-value:  13.447
Episode  825 | Steps:  12947 | Noise Scale: 0.261 | Replay size: 35066 | Episode length: 115 | Total reward:  111.68 | Mean Q-value:  13.576
Episode  830 | Steps:  13326 | Noise Scale: 0.260 | Replay size: 35445 | Episode length: 126 | Total reward:  122.65 | Mean Q-value:  13.684
Episode  835 | Steps:  13720 | Noise Scale: 0.258 | Replay size: 35839 | Episode length:  68 | Total reward:   66.08 | Mean Q-value:  13.887
Episode  840 | Steps:  14098 | Noise Scale: 0.257 | Replay size: 36217 | Episode length:  65 | Total reward:   61.66 | Mean Q-value:  13.985
Episode  845 | Steps:  14394 | Noise Scale: 0.257 | Replay size: 36513 | Episode length:  43 | Total reward:   41.46 | Mean Q-value:  14.142
Episode  850 | Steps:  14741 | Noise Scale: 0.256 | Replay size: 36860 | Episode length:  64 | Total reward:   59.47 | Mean Q-value:  14.220
Episode  855 | Steps:  15120 | Noise Scale: 0.255 | Replay size: 37239 | Episode length:  61 | Total reward:   58.90 | Mean Q-value:  14.360
Episode  860 | Steps:  15515 | Noise Scale: 0.253 | Replay size: 37634 | Episode length:  74 | Total reward:   57.30 | Mean Q-value:  14.477
Episode  865 | Steps:  15941 | Noise Scale: 0.252 | Replay size: 38060 | Episode length:  75 | Total reward:   72.65 | Mean Q-value:  14.629
Episode  870 | Steps:  16367 | Noise Scale: 0.251 | Replay size: 38486 | Episode length: 156 | Total reward:  129.85 | Mean Q-value:  14.695
Episode  875 | Steps:  16846 | Noise Scale: 0.250 | Replay size: 38965 | Episode length:  79 | Total reward:   76.82 | Mean Q-value:  14.913
